symbol,dateTime,startPrice,highestPrice,lowestPrice,endPrice,volume
TL0.XETRA,2022-11-09T21:59:59Z,191.5,195.28,186.24,186.24,127817
TL0.XETRA,2022-11-17T21:59:59Z,181.78,182.0,176.5,177.52,62038
TL0.XETRA,2022-11-29T21:59:59Z,178.4,179.8,175.56,176.84,54761
TL0.XETRA,2022-12-14T21:59:59Z,151.54,152.2,146.34,147.8,99368
TL0.XETRA,2022-12-22T21:59:59Z,130.38,131.14,120.5,121.9,117065
TL0.XETRA,2022-12-30T21:59:59Z,114.8,116.24,111.68,112.32,189183
TL0.XETRA,2023-01-04T21:59:59Z,103.08,106.7,101.12,106.7,377837
TL0.XETRA,2023-05-31T21:59:59Z,186.96,189.62,183.22,183.54,108407
TL0.XETRA,2023-06-01T21:59:59Z,189.72,192.1,185.94,190.08,180875
TL0.XETRA,2023-06-12T21:59:59Z,228.9,232.05,227.5,230.0,153131
TL0.XETRA,2023-06-14T21:59:59Z,241.6,245.1,235.55,237.55,227092
TL0.XETRA,2023-06-19T21:59:59Z,239.9,239.9,236.2,238.0,55497
TL0.XETRA,2023-06-22T21:59:59Z,233.0,238.3,226.35,237.25,350719
TL0.XETRA,2023-06-26T21:59:59Z,231.8,236.65,227.8,229.75,189027
TL0.XETRA,2023-07-10T21:59:59Z,248.0,253.15,244.3,246.1,131558
TL0.XETRA,2023-07-19T21:59:59Z,261.05,267.2,259.75,266.8,170211
TL0.XETRA,2023-08-04T21:59:59Z,238.8,240.45,232.75,234.75,119513
TL0.XETRA,2023-08-08T21:59:59Z,227.15,229.05,224.0,225.9,94288
TL0.XETRA,2023-11-02T21:59:59Z,196.82,205.3,196.68,204.15,119738
TL0.XETRA,2023-11-03T21:59:59Z,204.55,211.0,202.6,206.05,73753
TL0.XETRA,2023-11-08T21:59:59Z,207.25,209.65,203.9,206.35,60015
TL0.XETRA,2023-11-15T21:59:59Z,221.8,227.0,218.0,225.55,107999
TL0.XETRA,2023-11-23T21:59:59Z,214.5,215.9,214.45,215.5,27945
TL0.XETRA,2023-11-28T21:59:59Z,215.4,220.0,213.35,219.6,81160
TL0.XETRA,2023-11-29T21:59:59Z,225.7,230.0,224.0,224.45,116654
TL0.XETRA,2023-12-05T21:59:59Z,216.25,228.1,214.65,226.6,83253
TL0.XETRA,2023-12-11T21:59:59Z,225.35,227.7,221.9,221.9,59160
TL0.XETRA,2023-12-20T21:59:59Z,235.0,236.85,232.5,234.25,61834
TL0.XETRA,2024-01-08T21:59:59Z,215.65,218.1,214.8,217.4,57461
TL0.XETRA,2024-01-17T21:59:59Z,198.36,199.98,195.64,196.36,66577
TL0.XETRA,2024-01-22T21:59:59Z,195.92,199.94,191.72,192.18,73149
TL0.XETRA,2022-06-07T21:59:59Z,660.0,672.0,646.9,221.1333,23209
TL0.XETRA,2022-06-20T21:59:59Z,621.4,632.7,618.1,208.7667,28987
TL0.XETRA,2022-06-21T21:59:59Z,627.2,690.0,627.2,227.8667,60549
TL0.XETRA,2022-06-22T21:59:59Z,661.5,699.5,652.9,229.5667,56099
TL0.XETRA,2022-08-11T21:59:59Z,861.5,864.2,838.1,281.1667,31226
TL0.XETRA,2022-08-12T21:59:59Z,841.1,862.6,833.3,286.3,20165
TL0.XETRA,2022-08-16T21:59:59Z,912.3,928.0,892.1,303.8333,40323
TL0.XETRA,2022-08-18T21:59:59Z,894.0,908.7,893.6,302.0,17658
TL0.XETRA,2022-09-08T21:59:59Z,283.5,289.6,281.15,288.8,39617
TL0.XETRA,2022-10-03T21:59:59Z,265.95,266.3,247.35,249.35,174728
TL0.XETRA,2022-10-18T21:59:59Z,228.0,233.05,222.2,223.05,104303
TL0.XETRA,2022-10-21T21:59:59Z,212.15,214.8,208.5,214.8,102047
TL0.XETRA,2022-11-22T21:59:59Z,162.22,166.62,161.12,163.68,82307
TL0.XETRA,2022-11-24T21:59:59Z,178.5,179.8,177.9,179.68,97090
TL0.XETRA,2022-12-02T21:59:59Z,184.42,187.32,181.56,183.44,70576
TL0.XETRA,2022-12-20T21:59:59Z,139.56,142.52,133.5,134.72,131628
TL0.XETRA,2023-01-17T21:59:59Z,111.66,120.5,111.0,119.22,250953
TL0.XETRA,2023-02-09T21:59:59Z,189.48,198.4,189.16,194.8,326344
TL0.XETRA,2023-02-10T21:59:59Z,192.76,193.22,183.52,184.92,328392
TL0.XETRA,2023-04-05T21:59:59Z,176.02,177.38,168.44,169.4,108861
TL0.XETRA,2023-04-21T21:59:59Z,150.68,151.98,146.88,149.64,291253
TL0.XETRA,2023-04-24T21:59:59Z,149.6,150.2,143.8,145.18,124568
TL0.XETRA,2023-04-26T21:59:59Z,146.74,147.2,138.64,140.46,181395
TL0.XETRA,2023-07-03T21:59:59Z,252.25,260.3,252.1,255.15,352951
TL0.XETRA,2023-07-12T21:59:59Z,245.95,250.9,244.9,245.8,94181
TL0.XETRA,2023-08-07T21:59:59Z,233.65,235.2,221.65,221.7,75626
TL0.XETRA,2023-08-09T21:59:59Z,228.1,229.8,220.6,222.3,61792
TL0.XETRA,2023-08-14T21:59:59Z,216.65,220.65,214.85,218.5,133688
TL0.XETRA,2023-08-16T21:59:59Z,210.4,214.1,208.2,209.85,111022
TL0.XETRA,2023-08-22T21:59:59Z,216.25,221.85,214.8,215.1,241491
TL0.XETRA,2023-08-28T21:59:59Z,222.1,226.1,219.6,221.4,100521
TL0.XETRA,2023-09-11T21:59:59Z,239.25,251.65,238.75,251.3,284249
TL0.XETRA,2023-09-15T21:59:59Z,260.55,261.7,254.7,256.6,112659
TL0.XETRA,2023-09-20T21:59:59Z,249.1,250.5,247.8,248.35,56079
TL0.XETRA,2023-09-22T21:59:59Z,240.8,242.75,236.9,239.4,91043
